timestamp,spot,gex_total,flip_point,dex_btc_total,dex_usd_total,vega_total,charmex_total,vannaex_total,volgaex_magnitud,call_wall,put_wall,resistencia_cercana,soporte_cercano,tipo_regimen,confianza_regimen,sesgo_score,sesgo_alineado,riesgo_aceleracion,snapshot_ts
2026-08-02 22:43:20.364656+00:00,63346.8,-1322102.8401319743,63436.16035365813,-47.85952500000001,-3031747.758270001,12596.454239,-309.708529873833,10.516833435864063,47747.91171194411,63500.0,62000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),40.909090909090914,-0.6818181818181819,False,24.24242424242424,
2026-08-03 01:27:16.699269+00:00,63057.41,-5979266.3224468045,63358.74457106801,-168.868926,-10648437.10304166,11641.162399,-360.20111478015644,10.043910749367797,41306.93086358648,63500.0,62000.0,63500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),49.24242424242424,-4.545454545454546,False,9.090909090909092,
2026-08-03 05:27:27.044034+00:00,62773.21,-13343318.280778697,63293.72382500526,-300.590276,-18869016.51930596,9969.880414,-415.1325548028567,7.677725814567241,30015.54974520265,63000.0,62500.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),57.57575757575758,-7.954545454545454,False,4.545454545454546,
2026-08-03 08:56:59.826291+00:00,62441.64,-7393126.95007974,63296.34105146405,-221.063674,-13803578.34898536,15116.450145,-143.86330146629925,8.98863682638799,43472.08584980744,63000.0,62000.0,63000.0,62000.0,TENDENCIA / EXPANSIÓN (short gamma),37.121212121212125,-6.590909090909091,False,3.0303030303030303,
2026-08-03 12:48:00.718251+00:00,62669.49,-6884453.357938071,63272.8278334445,-170.16486700000002,-10664145.43080783,14656.465964,-212.5195232153748,11.00631499474703,50012.78993368977,63000.0,62000.0,63000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),41.28787878787878,-4.7727272727272725,False,6.0606060606060606,
2026-08-03 16:13:02.801529+00:00,63710.54,5089337.22989866,63407.96552066896,211.203687,13455900.94876098,17333.074489,-248.9757222949926,12.618811040732552,65648.23637679325,64500.0,62000.0,64000.0,63000.0,RANGO / REVERSIÓN (long gamma),40.909090909090914,59.84848484848485,True,22.727272727272727,
2026-08-03 19:15:09.883225+00:00,63853.35,8217290.267160828,63395.24094042424,273.023043,17433435.922744047,14723.878695,-237.71910876644645,10.89851056815486,59680.19333648226,64500.0,62000.0,64000.0,63500.0,RANGO / REVERSIÓN (long gamma),44.696969696969695,62.121212121212125,True,36.36363636363637,
2026-08-03 20:52:29.539660+00:00,63733.46,6613023.465731508,63381.76900429103,208.670393,13299286.145449778,13274.942248,-262.91688352413007,11.182715733604798,59033.54118569347,64500.0,62000.0,64000.0,63500.0,RANGO / REVERSIÓN (long gamma),44.31818181818182,59.46969696969697,True,43.93939393939394,
2026-08-03 22:48:54.159727+00:00,63532.84,3863299.62924501,63354.32174893457,142.34443600000003,9043546.27727824,12031.632196,-302.8754651458657,11.120368223335714,55721.1419048186,64000.0,62500.0,64000.0,63500.0,RANGO / REVERSIÓN (long gamma),42.42424242424242,56.06060606060606,True,46.96969696969697,
2026-08-04 01:17:05.380477+00:00,63361.54,1079227.5548099503,63321.51733774854,74.23811599999999,4703841.35645864,10232.291617,-325.11632762104125,9.86349345022221,48839.12907681105,63000.0,62500.0,63500.0,63000.0,RANGO / REVERSIÓN (long gamma),41.28787878787879,52.27272727272727,True,50.0,
2026-08-04 04:52:40.041032+00:00,64060.74,16936662.835434385,63297.95716681474,402.944666,25812933.48301284,9111.12372,-129.483371999998,5.438021934842044,32698.25758285947,64000.0,64000.0,64500.0,64000.0,RANGO / REVERSIÓN (long gamma),40.909090909090914,64.77272727272728,True,12.12121212121212,
2026-08-04 08:13:56.415238+00:00,63583.32,-8331360.465086456,64206.79897138423,-125.11459599999998,-7955201.394138719,56433.316503,-230.1567407782106,28.53481511101932,219518.7282298594,64500.0,62000.0,64000.0,62500.0,TENDENCIA / EXPANSIÓN (short gamma),37.5,-2.272727272727273,False,25.75757575757576,
2026-08-04 11:53:26.625672+00:00,63878.56,-4348802.162997417,64168.18742552233,83.73628300000007,5348953.177792484,47533.053785,-252.1576458621186,28.24311732459624,229755.07917091413,64500.0,62000.0,64000.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),31.439393939393938,52.65151515151515,True,53.03030303030303,
2026-08-04 13:40:47.764728+00:00,64024.59,-1116239.0258283708,64132.18478812705,181.00866000000005,11589005.242949402,44592.129932,-261.2087460011284,27.39045785214907,227650.51396472767,64500.0,62000.0,64500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),27.65151515151515,58.33333333333333,True,63.63636363636363,
2026-08-04 16:04:29.458804+00:00,64000.38,-455316.7668384519,64023.93233060294,202.924836,12987266.61543768,48654.930874,-360.74620086218073,33.35256393823853,255454.4581931249,64500.0,62000.0,64500.0,63000.0,TENDENCIA / EXPANSIÓN (short gamma),32.95454545454545,59.46969696969697,True,69.6969696969697,
2026-08-04 19:16:05.503976+00:00,64261.44,8187376.654580833,63990.831081804325,449.445545,28882017.923284803,40207.070004,-337.709276818784,28.80399999726115,235230.0619507061,64500.0,62000.0,64500.0,63000.0,RANGO / REVERSIÓN (long gamma),42.8030303030303,65.53030303030303,True,90.9090909090909,
2026-08-04 21:00:08.592021+00:00,64280.87,8596730.251176808,64016.81453465986,441.326661,28368861.72327507,39540.911065,-377.341945073254,28.777174668016603,229246.70860837083,64500.0,62000.0,64500.0,63000.0,RANGO / REVERSIÓN (long gamma),46.59090909090909,64.77272727272728,True,86.36363636363636,
2026-08-04 22:51:06.949265+00:00,64138.65,5370727.754621464,63997.339583747,330.524563,21199399.262659952,38908.085184,-431.3317441567777,29.721540711629288,225681.5456223465,64500.0,62000.0,64500.0,63000.0,RANGO / REVERSIÓN (long gamma),45.45454545454545,64.01515151515152,True,87.87878787878788,
2026-08-05 01:20:37.639127+00:00,63972.9,1274496.2950139614,63957.1696540823,284.7662670000001,18217323.922164302,37020.70015799999,-519.0027597480739,29.17767315276911,216551.47631921328,64500.0,62000.0,64000.0,63000.0,RANGO / REVERSIÓN (long gamma),43.93939393939394,63.25757575757576,True,89.39393939393939,
2026-08-05 04:52:25.305710+00:00,64063.46,193099.1709824213,64061.6345371242,275.431908,17645121.02088168,34068.075305000006,-612.9380427752828,25.7762688053787,190219.30396836257,64500.0,62000.0,64500.0,64000.0,RANGO / REVERSIÓN (long gamma),44.31818181818181,62.121212121212125,True,78.78787878787878,
2026-08-05 08:12:38.331475+00:00,64201.49,17740485.648558855,63654.67052517703,882.1727629999999,56636805.82201687,94099.690538,-523.937569432342,51.40528601925846,471021.7931357321,64000.0,62000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),60.22727272727273,69.69696969696969,True,59.09090909090909,
2026-08-05 11:49:40.263174+00:00,64046.58,10397290.208901564,63685.978574435416,695.50344,44544616.7102352,78401.224681,-498.61305792169605,46.66576338609773,422451.7009423753,64000.0,62000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),57.57575757575757,68.18181818181819,True,75.75757575757575,
2026-08-05 13:30:35.256054+00:00,64068.8,10924092.821312536,63707.32825405955,721.466785,46223511.154808,79387.265226,-531.4272417025405,45.58547026953879,395046.9977224901,64000.0,62000.0,64500.0,64000.0,RANGO / REVERSIÓN (long gamma),59.09090909090909,68.56060606060606,True,57.57575757575758,
2026-08-05 15:52:55.526779+00:00,64416.39,23615637.04500944,63772.517794774656,1116.2880709999995,71907247.73388366,77491.537956,-559.0944994680608,44.60268188496078,408922.6713489585,64000.0,62000.0,64500.0,64000.0,RANGO / REVERSIÓN (long gamma),65.53030303030303,70.07575757575758,True,72.72727272727273,
2026-08-05 17:16:13.780089+00:00,64516.52,26794414.23546306,63774.07998847093,1283.219995,82788888.47181739,73571.664497,-550.8462675164475,42.63140705237261,402109.3507817471,64000.0,64000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),67.42424242424244,70.45454545454545,True,77.27272727272727,
2026-08-05 19:09:55.710578+00:00,64843.36,35198607.58264696,63801.83326382691,1675.7778039999996,108663063.4247814,72051.34007,-547.5052397481476,40.23474544452528,402358.3728945982,65000.0,64000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),67.8030303030303,74.24242424242425,True,80.3030303030303,
2026-08-05 20:54:13.468965+00:00,64848.74,44007064.19552603,63735.08482222216,1866.518137,121041349.37159738,74767.997177,-612.0564822244758,40.19141469953689,374950.2231219847,65000.0,64000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),70.07575757575758,74.62121212121212,True,60.60606060606061,
2026-08-05 22:46:32.580009+00:00,64644.81,37336256.76559469,63746.04727877203,1536.135605,99303194.31946003,65089.84557899999,-646.6929912072092,37.94873507018661,333465.46143628855,65000.0,64000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),70.07575757575758,71.96969696969697,True,66.66666666666666,
2026-08-06 01:17:39.627179+00:00,64522.7,34639604.437255986,63744.77084955298,1394.627701,89985144.76331268,57208.886044,-703.055561193806,34.99538793854674,297023.076122852,65000.0,64000.0,65000.0,64000.0,RANGO / REVERSIÓN (long gamma),69.69696969696969,71.21212121212122,True,68.18181818181817,
